[2024-02-12 05:39:28:24095] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/repository/impl/ClassCategoryCl01RepositoryImpl.class]
[2024-02-12 05:39:28:24095] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/repository/impl/ClassCategoryCl02RepositoryImpl.class]
[2024-02-12 05:39:28:24096] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/repository/impl/ClassDetailOptnRepositoryImpl.class]
[2024-02-12 05:39:28:24096] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/repository/impl/ClassDetailRepositoryImpl.class]
[2024-02-12 05:39:28:24097] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/repository/impl/ClassRepositoryImpl.class]
[2024-02-12 05:39:28:24097] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/repository/impl/ClassWeekRepositoryImpl.class]
[2024-02-12 05:39:28:24097] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/service/ClassCategoryCl01Service.class]
[2024-02-12 05:39:28:24097] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/service/ClassCategoryCl02Service.class]
[2024-02-12 05:39:28:24097] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/service/ClassDetailOptnService.class]
[2024-02-12 05:39:28:24097] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/service/ClassDetailService.class]
[2024-02-12 05:39:28:24098] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/service/ClassService.class]
[2024-02-12 05:39:28:24098] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/cls/service/ClassWeekService.class]
[2024-02-12 05:39:28:24098] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/home/controller/HomeAdmController.class]
[2024-02-12 05:39:28:24098] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/home/controller/HomeController.class]
[2024-02-12 05:39:28:24098] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/lctre/controller/LctreAdmController.class]
[2024-02-12 05:39:28:24099] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/lctre/controller/LctreController.class]
[2024-02-12 05:39:28:24101] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/lctre/repository/impl/LctreRepositoryImpl.class]
[2024-02-12 05:39:28:24101] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/lctre/service/LctreService.class]
[2024-02-12 05:39:28:24101] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/ntt/controller/NttAdmController.class]
[2024-02-12 05:39:28:24104] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/ntt/repository/impl/NttReplyRepositoryImpl.class]
[2024-02-12 05:39:28:24105] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/ntt/repository/impl/NttRepositoryImpl.class]
[2024-02-12 05:39:28:24105] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/ntt/service/NttReplyService.class]
[2024-02-12 05:39:28:24105] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/ntt/service/NttService.class]
[2024-02-12 05:39:28:24106] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/oauth2/controller/SnsLoginCallbackController.class]
[2024-02-12 05:39:28:24106] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/oauth2/service/OAuth2UserService.class]
[2024-02-12 05:39:28:24106] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/banner/controller/BannerAdmController.class]
[2024-02-12 05:39:28:24106] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/banner/controller/BannerController.class]
[2024-02-12 05:39:28:24108] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/banner/repository/impl/BannerRepositoryImpl.class]
[2024-02-12 05:39:28:24108] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/banner/service/BannerService.class]
[2024-02-12 05:39:28:24108] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/cmmnCd/controller/CmmnCdAdmController.class]
[2024-02-12 05:39:28:24108] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/cmmnCd/controller/CmmnCdDetailAdmController.class]
[2024-02-12 05:39:28:24112] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/cmmnCd/repository/impl/CmmnCdDetailRepositoryImpl.class]
[2024-02-12 05:39:28:24112] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/cmmnCd/repository/impl/CmmnCdRepositoryImpl.class]
[2024-02-12 05:39:28:24113] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/cmmnCd/service/CmmnCdDetailService.class]
[2024-02-12 05:39:28:24113] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/cmmnCd/service/CmmnCdService.class]
[2024-02-12 05:39:28:24113] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/file/controller/FileController.class]
[2024-02-12 05:39:28:24115] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/file/repository/impl/AtchFileDetailRepositoryImpl.class]
[2024-02-12 05:39:28:24115] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/file/service/AtchFileDetailService.class]
[2024-02-12 05:39:28:24116] DEBUG 46446 --- [  restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/com/meta/ponkids/domain/system/file/service/AtchFileService.class]
